simtom_id,pastila_id,rating,timestamp
1,1,4,964982703
1,3,4,964981247
1,6,4,964982224
1,47,5,964983815
1,50,5,964982931
1,70,3,964982400
1,101,5,964980868
1,110,4,964982176
1,151,5,964984041
1,157,5,964984100
1,163,5,964983650
1,216,5,964981208
1,223,3,964980985
1,231,5,964981179
1,235,4,964980908
1,260,5,964981680
1,296,3,964982967
1,316,3,964982310
1,333,5,964981179
1,349,4,964982563
1,356,4,964980962
1,362,5,964982588
1,367,4,964981710
1,423,3,964982363
1,441,4,964980868
1,457,5,964981909
1,480,4,964982346
1,500,3,964981208
1,527,5,964984002
1,543,4,964981179
1,552,4,964982653
1,553,5,964984153
1,590,4,964982546
1,592,4,964982271
1,593,4,964983793
1,596,5,964982838
1,608,5,964982931
1,648,3,964982563
1,661,5,964982838
1,673,3,964981775
1,733,4,964982400
1,736,3,964982653
1,780,3,964984086
1,804,4,964980499
1,919,5,964982475
1,923,5,964981529
1,940,5,964982176
1,943,4,964983614
1,954,5,964983219
1,1009,3,964981775
1,1023,5,964982681
1,1024,5,964982876
1,1025,5,964982791
1,1029,5,964982855
1,1030,3,964982903
1,1031,5,964982653
1,1032,5,964982791
1,1042,4,964981179
1,1049,5,964982400
1,1060,4,964980924
1,1073,5,964981680
1,1080,5,964981327
1,1089,5,964982951
1,1090,4,964984018
1,1092,5,964983484
1,1219,2,964983393
1,1220,5,964981909
1,1222,5,964981909
1,1224,5,964984018
1,1226,5,964983618
1,1240,5,964983723
1,1256,5,964981442
1,1258,3,964983414
1,1265,4,964983599
1,1270,5,964983705
1,1275,5,964982290
1,1278,5,964983414
1,1282,5,964982703
1,1291,5,964981909
1,1298,5,964984086
1,1348,4,964983393
1,1377,3,964982653
1,1396,3,964983017
1,1408,3,964982310
1,1445,3,964984112
1,1473,4,964980875
1,1500,4,964980985
1,1517,5,964981107
1,1552,4,964982620
1,1573,5,964982290
1,1580,3,964981125
1,1587,5,964982346
1,1617,5,964982951
1,1620,4,964983056
1,1625,5,964983504
1,1644,3,964983536
1,1676,3,964982620
1,1732,5,964981125
